45936227	Wed Jun 24 00:26:29 +0000 2009	Treasury Board pegs Afghan tab $1.35B higher: The Treasury Board says that the cost of Canada’s military mission.. http://tinyurl.com/m2desn
45627765	Wed Jun 24 00:32:17 +0000 2009	Taliban assassination could set back Pakistan's efforts - http://bit.ly/lyPQL
17993414	Wed Jun 24 00:32:22 +0000 2009	Pakistani team should stop thanking Allah for their victories that is unless they start blaming him for their losses too..
6820682	Wed Jun 24 00:36:06 +0000 2009	Someone trying to kidnap me to Pakistan or India
47221420	Wed Jun 24 00:36:49 +0000 2009	Hey #1up How many people can occupy an airplane/bomber?  (#GameNight live &gt; http://ustre.am/1Doi)
19224128	Wed Jun 24 00:38:28 +0000 2009	Assassination of Taliban factional leader exposes rifts among militants in Pakistan ( http://bit.ly/XdWF8 )
37101901	Wed Jun 24 00:40:06 +0000 2009	Pakistani family’s house in UK set on fire, 5 injured http://www.despardes.com/flash.html#1
14082590	Wed Jun 24 00:40:45 +0000 2009	@feednote_test3 Militant nexus - The ties on either side of Afghan-Pakis - BBC News | News Front Page | World Edition http://minu.ws/Z108s
19393033	Wed Jun 24 00:44:39 +0000 2009	Three German soldiers killed in Afghanistan: The soldiers were conducting a joint operation with Afghan forces w.. http://bit.ly/6xst7
19393033	Wed Jun 24 00:45:10 +0000 2009	Three German soldiers killed in Afghanistan: The soldiers were conducting a joint operation with Afghan forces w.. http://bit.ly/xKK7A
36216795	Wed Jun 24 00:49:41 +0000 2009	Infant mortality in Afghanistan is 15%! Why? Mothers still give birth at home w/o adequate care. See what HOPE is doing http://trunc.it/jlyx
40549958	Wed Jun 24 00:49:43 +0000 2009	Handoff to Whitaker. Touchdown.  Bombers couldn't stop a thing on that drive.
15955099	Wed Jun 24 00:56:49 +0000 2009	Xbox Live: soadrocksever is currently Online. Playing Call of Duty 4. Operating an AC-130 gunship. (Xbox Live Nation)
3322361	Wed Jun 24 00:59:27 +0000 2009	Should be lining a purse. Am working on an afghan instead...
14502110	Wed Jun 24 01:01:31 +0000 2009	#Breaking Suspected U.S. Strike Kills at Least 60 in Pakistan via @NYT.com http://digg.com/d1ug0A?t
14624359	Wed Jun 24 01:03:32 +0000 2009	[CNN.com]U.S. to restrict airstrikes in Afghanistan http://bit.ly/UZjbX
18475875	Wed Jun 24 01:05:11 +0000 2009	Sudan's 'Coordinated' Genocide in Darfur Is Over, U.S. Envoy Says  			 www.flashgates.com/news.php
4047721	Wed Jun 24 01:16:02 +0000 2009	Pakistan has blocked France24 for reporting the Agosta kickback story http://bit.ly/uOMA7 -- so it must be true!
40549958	Wed Jun 24 01:18:40 +0000 2009	Bombers lead 26 to 25
15412003	Wed Jun 24 01:24:09 +0000 2009	new photo created http://www.motivatedphotos.com/?id=25728 "Photo bomber" using tags photo bomber
